[2020.05.24 17:03:50] | INFO  | [Node2D.gd] [_ready()] >> 54 animal born

[2020.05.24 17:03:50] | INFO  | [Node2D.gd] [_ready()] >> 55 animal born

[2020.05.24 17:03:50] | INFO  | [Node2D.gd] [_ready()] >> 56 animal born

[2020.05.24 17:03:56] | INFO  | [Node2D.gd] [_ready()] >> 57 animal born

[2020.05.24 17:03:57] | INFO  | [Node2D.gd] [_ready()] >> 58 animal born

[2020.05.24 17:03:58] | INFO  | [Node2D.gd] [_ready()] >> 59 animal born

[2020.05.24 17:03:58] | INFO  | [Node2D.gd] [_ready()] >> 60 animal born

[2020.05.24 17:03:58] | INFO  | [Node2D.gd] [_ready()] >> 61 animal born

[2020.05.24 17:04:01] | INFO  | [Node2D.gd] [_ready()] >> 62 animal born

[2020.05.24 17:04:02] | INFO  | [Node2D.gd] [_ready()] >> 63 animal born

[2020.05.24 17:04:03] | INFO  | [Node2D.gd] [_ready()] >> 64 animal born

[2020.05.24 17:04:04] | INFO  | [Node2D.gd] [_ready()] >> 65 animal born

[2020.05.24 17:04:08] | INFO  | [Node2D.gd] [_ready()] >> 66 animal born

[2020.05.24 17:04:08] | INFO  | [Node2D.gd] [_ready()] >> 67 animal born

[2020.05.24 17:04:10] | INFO  | [Node2D.gd] [_ready()] >> 68 animal born

[2020.05.24 17:04:10] | INFO  | [Node2D.gd] [_ready()] >> 69 animal born

[2020.05.24 17:04:11] | INFO  | [Node2D.gd] [_ready()] >> 70 animal born

[2020.05.24 17:04:11] | INFO  | [Node2D.gd] [_ready()] >> 71 animal born

[2020.05.24 17:04:12] | INFO  | [Node2D.gd] [_ready()] >> 72 animal born

[2020.05.24 17:04:15] | INFO  | [Node2D.gd] [_ready()] >> 73 animal born

[2020.05.24 17:04:17] | INFO  | [Node2D.gd] [_ready()] >> 74 animal born

[2020.05.24 17:04:19] | INFO  | [Node2D.gd] [_ready()] >> 75 animal born

[2020.05.24 17:04:19] | INFO  | [Node2D.gd] [_ready()] >> 76 animal born

[2020.05.24 17:04:22] | INFO  | [Node2D.gd] [_ready()] >> 77 animal born

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 78 animal born

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 79 animal born

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 1 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 5 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 6 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 7 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 8 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 10 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 11 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 12 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 13 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 14 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 16 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 17 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 18 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 19 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 20 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 21 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 23 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 24 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 25 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 26 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 27 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 28 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 29 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 30 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 31 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 33 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 34 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 35 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 36 animal dead

