[2021.11.10 23:10:28] | INFO  | [Node2D.gd] [_ready()] >> #89 animal born

[2021.11.10 23:10:29] | INFO  | [Node2D.gd] [_ready()] >> #90 animal born

[2021.11.10 23:10:29] | INFO  | [Node2D.gd] [_ready()] >> #91 animal born

[2021.11.10 23:10:32] | INFO  | [Node2D.gd] [_ready()] >> #49 animal dead

[2021.11.10 23:10:33] | INFO  | [Node2D.gd] [_ready()] >> #92 animal born

[2021.11.10 23:10:33] | INFO  | [Node2D.gd] [_ready()] >> #93 animal born

[2021.11.10 23:10:34] | INFO  | [Node2D.gd] [_ready()] >> #94 animal born

[2021.11.10 23:10:35] | INFO  | [Node2D.gd] [_ready()] >> #45 animal dead

[2021.11.10 23:10:35] | INFO  | [Node2D.gd] [_ready()] >> #95 animal born

[2021.11.10 23:10:36] | INFO  | [Node2D.gd] [_ready()] >> #46 animal dead

[2021.11.10 23:10:36] | INFO  | [Node2D.gd] [_ready()] >> #48 animal dead

[2021.11.10 23:10:36] | INFO  | [Node2D.gd] [_ready()] >> #96 animal born

[2021.11.10 23:10:36] | INFO  | [Node2D.gd] [_ready()] >> #52 animal dead

[2021.11.10 23:10:36] | INFO  | [Node2D.gd] [_ready()] >> #53 animal dead

[2021.11.10 23:10:36] | INFO  | [Node2D.gd] [_ready()] >> #54 animal dead

[2021.11.10 23:10:37] | INFO  | [Node2D.gd] [_ready()] >> #97 animal born

[2021.11.10 23:10:37] | INFO  | [Node2D.gd] [_ready()] >> #55 animal dead

[2021.11.10 23:10:37] | INFO  | [Node2D.gd] [_ready()] >> #98 animal born

[2021.11.10 23:10:38] | INFO  | [Node2D.gd] [_ready()] >> #65 animal dead

[2021.11.10 23:10:38] | INFO  | [Node2D.gd] [_ready()] >> #99 animal born

[2021.11.10 23:10:39] | INFO  | [Node2D.gd] [_ready()] >> #100 animal born

[2021.11.10 23:10:39] | INFO  | [Node2D.gd] [_ready()] >> #101 animal born

[2021.11.10 23:10:41] | INFO  | [Node2D.gd] [_ready()] >> #102 animal born

[2021.11.10 23:10:41] | INFO  | [Node2D.gd] [_ready()] >> #103 animal born

[2021.11.10 23:10:42] | INFO  | [Node2D.gd] [_ready()] >> #104 animal born

[2021.11.10 23:10:43] | INFO  | [Node2D.gd] [_ready()] >> #105 animal born

[2021.11.10 23:10:44] | INFO  | [Node2D.gd] [_ready()] >> #56 animal dead

[2021.11.10 23:10:44] | INFO  | [Node2D.gd] [_ready()] >> #57 animal dead

[2021.11.10 23:10:44] | INFO  | [Node2D.gd] [_ready()] >> #58 animal dead

[2021.11.10 23:10:44] | INFO  | [Node2D.gd] [_ready()] >> #106 animal born

[2021.11.10 23:10:44] | INFO  | [Node2D.gd] [_ready()] >> #59 animal dead

[2021.11.10 23:10:44] | INFO  | [Node2D.gd] [_ready()] >> #60 animal dead

